169086.city,mISABELA,ISABELA
90130.haschild,gY,Y
121361.maritalstatus,***,S
26056.statevalue,PyA,PA
65307.statevalue,HO,OH
184201.gender,***,F
197263.lname,uhdanpaa,Huhdanpaa
24815.statevalue,CD,DC
6311.fname,Xiangning,Masuhiro
86258.maritalstatus,***,M
12781.maritalstatus,,M
77387.haschild,***,Y
45183.haschild,,Y
3115.areacode,702.0,307
57688.gender,***,F
1516.city,DAHLONEAG,DAHLONEGA
180878.statevalue,Z,AZ
127404.haschild,mY,Y
13020.statevalue,T,MT
1635.haschild,aN,N
182074.statevalue,K,AK
36017.fname,Alran,Alan
128256.haschild,dN,N
168257.statevalue,C,NC
105071.city,EGNA,EGAN
52094.fname,Dhavual,Dhaval
193202.city,AGUADILA,AGUADILLA
196883.fname,Umindr,Uminder
132758.gender,***,F
392.areacode,702.0,985
87352.statevalue,H,OH
72481.fname,Predag,Predrag
58133.statevalue,eNJ,NJ
145999.city,ZEiIGLER,ZEIGLER
5764.fname,Nik,Linus
55349.city,OILN,OLIN
198376.city,WAHINGTON,WASHINGTON
123175.lname,Zaarte,Zarate
132385.maritalstatus,,M
13286.city,CAMBRDGE,CAMBRIDGE
33827.city,MORISON,MORRISON
169769.haschild,***,N
67478.maritalstatus,,S
98675.phone,270-4635,270-4653
179030.lname,Lcece,Lecce
71793.city,WOF,WOLF
121670.gender,uF,F
102877.phone,7854-144,785-4144
73105.phone,21-9446,721-9446
194633.phone,e763-5878,763-5878
39122.maritalstatus,,M
97102.gender,***,F
10805.statevalue,CvT,CT
122881.gender,***,M
113413.city,PoENUELAS,PENUELAS
196990.phone,58-6936,583-6936
3918.areacode,501.0,314
132389.gender,***,F
60009.phone,55f3-9392,553-9392
117349.gender,***,M
148813.haschild,***,N
119457.phone,887-750,887-7560
151635.lname,Kloshowski,Klosowski
113278.haschild,,Y
72254.fname,Ruudr,Ruurd
29040.gender,***,F
2615.zip,89140.0,56401
108875.lname,dMinei,Minei
830.fname,Belen,Stasys
115546.fname,Hegn,Heng
101219.fname,Rtako,Ratko
46835.gender,***,M
51987.statevalue,DI,ID
79692.gender,,M
36177.phone,75w4-5513,754-5513
95405.gender,gM,M
62255.haschild,***,N
21600.fname,Kieon,Kieron
167463.maritalstatus,***,M
116577.lname,Cronxin,Cronin
113982.city,NARANJIxTO,NARANJITO
162256.city,SCAR,OSCAR
165722.fname,ratap,Pratap
134683.haschild,,Y
107189.city,ESCO,SECO
186433.fname,Manrgot,Margot
46161.statevalue,K,AK
153064.haschild,,Y
48417.phone,893-9u557,893-9557
177615.lname,aGltieli,Galtieli
8768.city,CEDAR RIDGoE,CEDAR RIDGE
153716.statevalue,qOK,OK
111460.city,HNERY,HENRY
107633.fname,Aysemgul,Aysegul
171146.city,SAEM,SALEM
168974.city,yWICHITA,WICHITA
158850.statevalue,IR,RI
106971.fname,Kwanglkeun,Kwangkeun
89683.gender,***,M
146477.gender,gM,M
160644.lname,Moesdale,Mosedale
89503.gender,,M
174911.gender,eF,F
1831.zip,54121.0,35469
189896.fname,amila,Kamila
101552.lname,lippi,Alippi
36746.gender,,M
137900.haschild,,Y
170710.haschild,uY,Y
180626.city,NOTTINGHAM***,NOTTINGHAM
121172.statevalue,X,TX
14374.phone,877-7192,877-7129
45951.maritalstatus,***,M
1646.zip,54121.0,64118
37442.city,LyOS ANGELES,LOS ANGELES
57510.gender,xF,F
157340.gender,,F
11402.phone,26-6916,726-6916
40509.city,ABERDEN,ABERDEEN
142563.haschild,***,Y
137606.city,CUMERLAND,CUMBERLAND
23893.fname,Kunnle,Kunle
40169.maritalstatus,zS,S
63319.fname,Banula,Bandula
568.zip,8203.0,6911
4100.zip,1907.0,84759
168516.statevalue,KA,AK
96133.fname,Joatnhan,Joanthan
62409.maritalstatus,iS,S
179332.fname,Grgeers,Gregers
155056.city,LAKE PROVIDEvNCE,LAKE PROVIDENCE
124974.lname,Bedlel,Bedell
197351.phone,672-411d1,672-4111
42851.fname,Nibli,Nili
135107.statevalue,CD,DC
188692.haschild,***,N
119683.maritalstatus,cS,S
29895.gender,zM,M
67758.haschild,***,N
166604.phone,191-6883***,191-6883
197669.phone,314-3825,314-3285
102450.maritalstatus,yM,M
26458.statevalue,D,SD
165346.fname,nNirad,Nirad
56387.haschild,gN,N
107192.lname,Mrani,Merani
169575.gender,,F
25687.lname,Philppou,Philippou
97490.maritalstatus,,M
139043.maritalstatus,,S
60107.maritalstatus,dS,S
65079.statevalue,K,AK
131042.statevalue,vMA,MA
68586.fname,Lotfi,Lofti
29846.lname,Anguialr,Anguilar
1084.fname,Xiangning,Saniya
1650.zip,8203.0,42134
105631.lname,Siusik,Sipusik
85239.statevalue,L,AL
40797.statevalue,WoA,WA
161275.gender,***,M
199445.haschild,aY,Y
169697.city,TERrRY,TERRY
184582.fname,Sheriry,Sherry
71519.fname,Eerin,Erin
186071.haschild,,N
196818.fname,Jawahafr,Jawahar
174943.statevalue,SgD,SD
14908.maritalstatus,uS,S
39982.fname,pril,April
109995.gender,qF,F
158087.gender,***,M
128014.city,SOUTHd HEART,SOUTH HEART
191522.lname,Sirovtich,Sirovich
135724.fname,Duren,Dunren
163365.statevalue,L,FL
131912.haschild,,N
94456.lname,Franasczuk,Franaszczuk
198933.lname,az,Baz
77794.fname,oTkunbo,Tokunbo
14336.fname,Myituhiro,Mituhiro
60449.city,CRSSON,CRESSON
165597.maritalstatus,***,M
145681.gender,,F
153084.phone,66v9-7746,669-7746
68833.phone,964-22c52,964-2252
75475.haschild,rY,Y
197337.city,tROGERS,ROGERS
179648.phone,075-2117,705-2117
179578.phone,659-7517,695-7517
3490.areacode,862.0,970
162478.statevalue,AoK,AK
178842.lname,Lmma,Lamma
69705.statevalue,T,CT
102378.lname,Strassr,Strasser
7327.areacode,702.0,603
164244.statevalue,CD,DC
19666.lname,uLkaszewicz,Lukaszewicz
142725.phone,3121909,312-1909
176158.fname,Laourian,Laurian
5399.areacode,702.0,228
167292.lname,aCluwe,Caluwe
185332.statevalue,KA,AK
115770.fname,hCunyi,Chunyi
168744.haschild,dN,N
84427.statevalue,DM,MD
168592.statevalue,KA,AK
52713.gender,oM,M
22366.statevalue,gVT,VT
28880.phone,47-8610,475-8610
51385.statevalue,WlI,WI
78610.fname,fViolet,Violet
85872.city,LARNgED,LARNED
146934.haschild,xN,N
165519.city,ROSE RCEEK,ROSE CREEK
384.phone,898-5124,898-5214
89759.statevalue,K,AK
539.fname,hMarlin,Marlin
23920.fname,Zhngyou,Zhengyou
159430.city,SILVER CyITY,SILVER CITY
162107.statevalue,jLA,LA
73770.statevalue,DS,SD
176166.lname,hWelan,Whelan
82089.lname,Scheqifler,Scheifler
174166.statevalue,D,MD
88154.fname,uHajun,Huajun
58091.statevalue,EN,NE
147.zip,8203.0,37314
2184.areacode,862.0,316
32031.gender,***,F
39707.statevalue,KA,AK
2912.zip,89140.0,35230
172892.statevalue,K,AK
18951.lname,Mlde,Milde
98107.city,LMIA,LIMA
7438.areacode,508.0,662
85015.gender,,F
9482.fname,Zakarai,Zakaria
99363.gender,dM,M
180891.maritalstatus,***,M
25760.gender,***,F
