fname,lname,gender,areacode,phone,city,statevalue,zip,maritalstatus,haschild,salary,rate,singleexemp,marriedexemp,childexemp,Label
Pengyuan,Zendler,F,508,744-9007,SWAMPSCOTT,MA,1907,M,N,90000,5.3,0,7150,0,1
Nik,Tacic,M,702,517-7658,LAS VEGAS,NV,89140,M,N,90000,0.0,0,0,0,1
Hovav,Punter,M,501,304-9763,HASTY,AR,72640,S,N,50000,7.0,20,0,0,1
Xiangning,Vanneste,F,862,651-6469,BRIGANTINE,NJ,8203,M,Y,55000,1.9519792,0,2000,1500,1
Belen,Niccum,F,920,287-1889,FLORENCE,WI,54121,S,Y,85000,5.9232907,700,0,400,1
Sudhanshu,Meguro,M,915,996-7794,BROWNSVILLE,TX,78521,S,N,60000,0.0,0,0,0,1
Babette,Abawajy,M,202,222-8737,WASHINGTON,DC,20226,S,N,95000,9.0,1370,0,0,1
Noury,Deineko,M,785,107-5730,LAWRENCE,KS,66049,S,N,10000,3.5,2250,0,0,1
Rossella,Chinen,F,202,868-7188,WASHINGTON,DC,20541,S,N,35000,9.0,1370,0,0,1
Fadila,Mamelak,F,864,919-2348,SAINT MATTHEWS,SC,29135,M,Y,65000,7.0,0,6600,3300,1
Nabuo,Lugli,F,203,800-6915,SOUTHBURY,CT,6488,S,N,90000,5.0,12750,0,0,1
Violet,Broeg,F,406,353-7076,BRADY,MT,59416,M,N,70000,6.9,0,3800,0,1
Elliott,Mawatari,M,206,504-2865,AUBURN,WA,98001,S,Y,85000,0.0,0,0,0,1
Gherin,Gori,M,312,722-5794,ROCHELLE,IL,61068,S,N,85000,3.0,2000,0,0,1
Thoddi,Obtulowicz,M,503,232-1410,WILLAMINA,OR,97396,M,N,65000,9.0,0,318,0,1
Aurora,Nogi,M,360,324-5693,LAKEWOOD,WA,98498,S,Y,30000,0.0,0,0,0,1
Irit,Smolensky,F,402,275-3579,SENECA,NE,69161,M,Y,40000,6.84,0,206,103,1
Tina,Tsotras,M,843,589-8247,GAFFNEY,SC,29340,S,Y,20000,7.0,3300,0,3300,1
Howard,Kageura,M,203,243-4810,STAMFORD,CT,6913,S,N,80000,5.0,12750,0,0,1
Raven,Prior,F,785,241-2136,BEAUMONT,KS,67012,M,N,65000,6.45,0,4500,0,1
Weiming,Posthoff,F,918,969-7666,VERA,OK,74082,M,N,45000,6.25,0,2000,0,1
Sanpei,Sobieski,F,360,921-9097,MILL CREEK,WA,98082,M,Y,20000,0.0,0,0,0,1
Lian,Grospietsch,F,216,367-4693,ROBERTSVILLE,OH,44670,S,Y,50000,2.2057693,1300,0,1300,1
Qianhong,Schmerl,M,304,708-9312,BARTLEY,WV,24813,M,Y,55000,6.1499996,0,4000,2000,1
Chaisak,Lageweg,M,302,577-3291,NEWARK,DE,19711,M,Y,95000,5.95,0,220,110,1
Vittorio,Staggers,F,419,552-3265,FORT LORAMIE,OH,45845,S,N,85000,3.36759,1300,0,0,1
Sigbjorn,Dawson,F,731,171-4165,KNOXVILLE,TN,37916,S,N,25000,0.0,0,0,0,1
Gultekin,Laxer,M,435,321-1879,SALT LAKE CITY,UT,84130,S,N,75000,7.0,2475,0,0,1
Roya,Gulik,F,479,329-8879,OMAHA,AR,72662,M,N,75000,7.0,0,40,0,1
Williaam,Averbukh,M,310,160-3505,MISSION VIEJO,CA,92690,M,N,45000,9.3,0,174,0,1
